Job Name,Repo,Workflow Name,Branch,Cron schedule (JST),Status,End Date,PIC Team,Request Body
QA - FSBP,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 3,Enable,2026-02-01,FSBP,"{
    ""prjName"": ""Env-QA-DAY-FSBP"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @financialService and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
}"
QA - FSBP,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 4,Enable,2026-03-14,FSBP,"{
    ""prjName"": ""Env-QA-DAY-FSBP"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @financialService and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
}"
QA - FSBP - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 2 ,Disable,2026-03-15,FSBP,"{
    ""prjName"": ""Env-QA-DAY-FSBP-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @financialService and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": """",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
}"
QA - FSBP - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 3 ,Enable,2026-01-24,PAM,"{
    ""prjName"": ""Env-QA-DAY-FSBP-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @financialService and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
}"
QA - FSBP - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 4,Enable,2026-01-19,FSBP,"{
    ""prjName"": ""Env-QA-DAY-FSBP-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @financialService and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
}"
QA - PAM,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 20 * * 1 ,Disable,2026-02-15,FSBP,"{
    ""prjName"": ""Env-QA-DAY-PAM"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and not @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": """",
    ""enable_webdriver"": ""false""
 }"
QA - PAM,qa-automate-apiqa,Parallelism_Testing_Launcher,master,30 21 * * 1 ,Disable,2026-02-15,CAG,"{
    ""prjName"": ""Env-QA-DAY-PAM-V2"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": """",
    ""enable_webdriver"": ""false""
 }"
QA - PAM,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 20 * * 2 ,Enable,2026-02-05,CAG,"{
    ""prjName"": ""Env-QA-DAY-PAM"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and not @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - PAM,qa-automate-apiqa,Parallelism_Testing_Launcher,master,30 21 * * 2 ,Enable,2026-03-22,PAM,"{
    ""prjName"": ""Env-QA-DAY-PAM-V2"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - PAM,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 20 * * 3 ,Enable,2026-03-14,O2O,"{
    ""prjName"": ""Env-QA-DAY-PAM"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and not @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
